id,type,auteur,source,licence,fichier_maitre,export,version,echelle_m,lod,collision,materiaux,textures,rig,animations,statut_import,budget_tris,date,notes
SM_TestCube,prop_test,projet,tools/blender/make_test_assets.py,licence_projet,source_assets/blender/props/SM_TestCube.blend,assets/environment/props/SM_TestCube.glb,1,1.0x1.0x1.0,LOD0,aucune,MAT_TestCube,0,non,0,glb_valide_import_godot_non_verifie,12,2026-07-31,asset de test du pipeline - ne pas utiliser en jeu
SK_TestRigAnim,rig_test,projet,tools/blender/make_test_assets.py,licence_projet,source_assets/blender/props/SK_TestRigAnim.blend,assets/characters/hero/SK_TestRigAnim.glb,1,0.3x2.0x0.3,LOD0,aucune,MAT_TestRig,0,2_os,AN_TestRig_Idle,glb_valide_import_godot_non_verifie,124,2026-07-31,clip boucle 24 frames - asset de test du pipeline
SM_WornSword,arme_production,projet,tools/blender/make_worn_sword.py,creation_originale_du_projet,source_assets/weapons/SM_WornSword.blend,assets/weapons/SM_WornSword.glb,1,0.133x0.043x0.97,LOD0_seul_414_tris_LOD_superflu,volumes_gameplay_du_controleur,MAT_WornSword,T_WornSword_BaseColor+T_WornSword_MR_512,non,0,glb_valide_import_godot_verifie,414,2026-08-01,ART-P0 premier asset de production - pivot a la prise (voulu) - Git LFS INDISPONIBLE sur ce depot (verifie) donc tailles contenues: blend 448 Ko glb 190 Ko textures 164 Ko
T_WornSword_Icon,icone_ui,projet,tools/godot/render_weapon_icon.gd,creation_originale_du_projet,rendu_depuis_SM_WornSword.glb,assets/weapons/T_WornSword_Icon.png,1,256x256,na,na,na,PNG_RGBA_transparent,non,0,importe_godot,na,2026-08-01,icone RENDUE depuis le vrai modele - jamais dessinee arbitrairement
CommonTree_1,env_arbre,Quaternius,Stylized.Nature.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/foliage/CommonTree_1.gltf,1,4.31x7.26x4.58,LOD0_seul,a_generer_convexe,Bark_NormalTree+Leaves,Bark_NormalTree_2K+Leaves_NormalTree_C_1K,non,0,gltf_valide_import_godot_a_verifier,6265,2026-08-02,env.tree.medium - racines minY -0.24 voulu pour pentes
CommonTree_4,env_arbre,Quaternius,Stylized.Nature.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/foliage/CommonTree_4.gltf,1,3.83x9.44x3.76,LOD0_seul,a_generer_convexe,Bark_NormalTree+Leaves,textures_partagees_avec_CommonTree_1,non,0,gltf_valide_import_godot_a_verifier,4066,2026-08-02,env.tree.large
Bush_Common_Flowers,env_buisson,Quaternius,Stylized.Nature.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/foliage/Bush_Common_Flowers.gltf,1,1.91x1.58x1.97,LOD0_seul,aucune_decor,Leaves+Flowers,Flowers_1K+Leaves_partage,non,0,gltf_valide_import_godot_a_verifier,1368,2026-08-02,env.plant.bush
Rock_Medium_2,env_rocher,Quaternius,Stylized.Nature.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/rocks/Rock_Medium_2.gltf,1,3.05x1.90x2.48,LOD0_seul,a_generer_convexe,Rocks,Rocks_Diffuse_2K,non,0,gltf_valide_import_godot_a_verifier,244,2026-08-02,env.rock.medium
Rock_Medium_3,env_rocher,Quaternius,Stylized.Nature.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/rocks/Rock_Medium_3.gltf,1,3.42x2.32x3.48,LOD0_seul,a_generer_convexe,Rocks,Rocks_Diffuse_partage,non,0,gltf_valide_import_godot_a_verifier,522,2026-08-02,env.rock.large - echelle x1.5 dans le wrapper RockLarge.tscn (documente)
Chest_Wood,prop_coffre,Quaternius,Fantasy.Props.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/props/Chest_Wood.gltf,1,1.28x0.46x0.76,LOD0_seul,volumes_gameplay_existants,Trim_Furniture+Trim_Metal,2_trims_2K_partages,non,0,gltf_valide_import_godot_a_verifier,2546,2026-08-02,prop.chest - couvercle mesh separe
Crate_Wooden,prop_caisse,Quaternius,Fantasy.Props.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/props/Crate_Wooden.gltf,1,1.08x1.19x1.16,LOD0_seul,volumes_gameplay_existants,Trim_Furniture+Trim_Metal,trims_partages,non,0,gltf_valide_import_godot_a_verifier,1576,2026-08-02,prop.crate
Barrel,prop_tonneau,Quaternius,Fantasy.Props.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/props/Barrel.gltf,1,0.70x0.90x0.70,LOD0_seul,volumes_gameplay_existants,Trim_Furniture+Trim_Metal,trims_partages,non,0,gltf_valide_import_godot_a_verifier,824,2026-08-02,prop.barrel
DoorFrame_Round_Brick,arch_porte,Quaternius,Medieval.Village.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/dungeon/DoorFrame_Round_Brick.gltf,1,1.60x2.59x0.48,LOD0_seul,a_generer_boite,RockTrim,T_RockTrim_2K,non,0,gltf_valide_import_godot_a_verifier,2046,2026-08-02,arch.gate.module - prefere a Wall_Arch (panneau 6 cm trop fin)
Wall_UnevenBrick_Straight,arch_mur,Quaternius,Medieval.Village.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/dungeon/Wall_UnevenBrick_Straight.gltf,1,2.00x3.12x0.41,LOD0_seul,a_generer_boite,WoodTrim+Plaster+UnevenBrick,3_sets_2K,non,0,gltf_valide_import_godot_a_verifier,56,2026-08-02,arch.wall.module - harmonisation matiere citadelle = ART-Q6
Corner_ExteriorWide_Brick,arch_colonne,Quaternius,Medieval.Village.MegaKit.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/environment/dungeon/Corner_ExteriorWide_Brick.gltf,1,0.71x3.04x0.76,LOD0_seul,a_generer_boite,RockTrim,T_RockTrim_partage,non,0,gltf_valide_import_godot_a_verifier,2882,2026-08-02,arch.column.module - pilier d angle retenu contre Prop_Support (equerre minY 1.21)
Male_Ranger,perso_heros,Quaternius,Modular.Character.Outfits.Fantasy.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/characters/hero/Male_Ranger.gltf,1,personnage_1.8m_env,LOD0_seul,capsule_gameplay_du_controleur,MI_Ranger+MI_Regular_Male,Ranger_4K_justifie_heros+Regular_Male_2K,armature_65_os,0_clips_bibliotheques_UAL_en_Q1,gltf_valide_skin_import_godot_a_verifier,26982,2026-08-02,char.hero CANDIDAT Q0 preview calibration seulement - cablage anime en ART-Q1 - squelette IDENTIQUE aux UAL (65 os verifies)
UAL1_Standard,bibliotheque_animations,Quaternius,Universal.Animation.Library.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/animations/UAL1_Standard.glb,1,mannequin_65_os,na,aucune,mannequin,aucune_texture_utile,armature_65_os,43_clips_IN_PLACE,glb_valide_import_godot_verifie,13744,2026-08-02,source des clips heros - version in-place (jamais _RM)
UAL2_Standard,bibliotheque_animations,Quaternius,Universal.Animation.Library.2.Standard(CC0),CC0_1.0,archive_Release_asset-inbox-quaternius-free-v1,assets/animations/UAL2_Standard.glb,1,mannequin_65_os,na,aucune,mannequin,aucune_texture_utile,armature_65_os,44_clips_IN_PLACE,glb_valide_import_godot_verifie,na,2026-08-02,source Sword_Regular_A et Sword_Heavy_Combo - version in-place
AL_HeroStates,bibliotheque_cuite,projet_depuis_Quaternius_CC0,tools/godot/bake_hero_animations.gd,CC0_1.0_source,cuit_depuis_UAL1+UAL2,assets/animations/AL_HeroStates.res,1,na,na,na,na,na,pistes_os_65,12_clips_boucles_explicites,audit_root_motion_evidence_artQ1,na,2026-08-02,bibliotheque du heros - drift boucles 0.000 m - one-shots documentes
