nom,dossier
# ---- Sélection V4 (lot 3) — un clone rejoue : python3 tools/promote_quaternius.py <extraction> --apply
# ---- NATURE — palettes par biome (§12) : feuillus vallée, pins hauteurs,
# ---- tordus/morts pour landmarks et nord aride, sous-bois pour la forêt.
CommonTree_2,assets/environment/foliage
CommonTree_3,assets/environment/foliage
CommonTree_5,assets/environment/foliage
Pine_1,assets/environment/foliage
Pine_2,assets/environment/foliage
Pine_3,assets/environment/foliage
Pine_4,assets/environment/foliage
Pine_5,assets/environment/foliage
TwistedTree_1,assets/environment/foliage
TwistedTree_2,assets/environment/foliage
TwistedTree_3,assets/environment/foliage
DeadTree_1,assets/environment/foliage
DeadTree_2,assets/environment/foliage
Bush_Common,assets/environment/foliage
Fern_1,assets/environment/foliage
Clover_1,assets/environment/foliage
Clover_2,assets/environment/foliage
Flower_3_Group,assets/environment/foliage
Flower_3_Single,assets/environment/foliage
Flower_4_Group,assets/environment/foliage
Flower_4_Single,assets/environment/foliage
Grass_Common_Short,assets/environment/foliage
Grass_Common_Tall,assets/environment/foliage
Grass_Wispy_Short,assets/environment/foliage
Grass_Wispy_Tall,assets/environment/foliage
Mushroom_Common,assets/environment/foliage
Mushroom_Laetiporus,assets/environment/foliage
Plant_1,assets/environment/foliage
Plant_1_Big,assets/environment/foliage
Plant_7,assets/environment/foliage
# ---- ROCHERS ET PIERRES DE RIVIÈRE
Rock_Medium_1,assets/environment/rocks
Pebble_Round_4,assets/environment/rocks
Pebble_Round_5,assets/environment/rocks
RockPath_Round_Wide,assets/environment/rocks
RockPath_Round_Thin,assets/environment/rocks
RockPath_Round_Small_1,assets/environment/rocks
RockPath_Square_Wide,assets/environment/rocks
RockPath_Square_Small_1,assets/environment/rocks
# ---- PROPS — camp habité, cuisine, intérieurs, militaire léger (§11 D/K, §12)
Cauldron,assets/environment/props
Torch_Metal,assets/environment/props
Lantern_Wall,assets/environment/props
Table_Large,assets/environment/props
Bench,assets/environment/props
Stool,assets/environment/props
Chair_1,assets/environment/props
Bucket_Wooden_1,assets/environment/props
Bucket_Metal,assets/environment/props
Bag,assets/environment/props
Pouch_Large,assets/environment/props
Barrel_Apples,assets/environment/props
FarmCrate_Apple,assets/environment/props
FarmCrate_Empty,assets/environment/props
WeaponStand,assets/environment/props
Shield_Wooden,assets/environment/props
Sword_Bronze,assets/environment/props
Axe_Bronze,assets/environment/props
