fichier;ligne;texte;contexte;classification;cle-proposee
scripts/ui/gameplay_shell.gd;279;INVENTAIRE;_apply_v4_style;joueur;inventaire.titre
scripts/ui/gameplay_shell.gd;307;Conductivité;_apply_v4_style;joueur;inventaire.conductivite
scripts/ui/gameplay_shell.gd;326;Tab / Échap — Fermer;_apply_v4_style;joueur;inventaire.fermer
scripts/ui/gameplay_shell.gd;530;Commandes;_build_controls_button;joueur;menu.pause.commandes
scripts/ui/gameplay_shell.gd;698;Dégâts  %.0f\nPortée  %.1f m\nDurabilité  %d / %d;_refresh_detail;joueur;inventaire.detail.stats
scripts/ui/gameplay_shell.gd;751;Flèches : %d;_on_arrows_changed;joueur;hud.fleches
scripts/ui/gameplay_shell.gd;762;Plats : %d  (F);_on_meals_changed;joueur;hud.plats
scripts/ui/gameplay_shell.gd;777;Mains nues;_refresh_weapon_text;joueur;hud.arme.mains_nues
scripts/ui/gameplay_shell.gd;796;E — %s;_on_interact_focus_changed;joueur;hud.invite.format
scripts/ui/gameplay_shell.gd;1004;%.4f rad/px;_refresh_sensitivity_label;joueur;menu.pause.sensibilite
scripts/ui/gameplay_shell.gd;1023;Attaque;set_sensitivity;joueur;hud.buff.attaque
scripts/ui/gameplay_shell.gd;1024;Défense;set_sensitivity;joueur;hud.buff.defense
scripts/ui/gameplay_shell.gd;1025;Endurance;set_sensitivity;joueur;hud.buff.endurance
scripts/ui/gameplay_shell.gd;1026;Résist. élec.;set_sensitivity;joueur;hud.buff.resist_elec
scripts/ui/gameplay_shell.gd;1049;CUISINE;_build_cooking_panel;joueur;cuisine.titre
scripts/ui/gameplay_shell.gd;1067;Cuisiner;_build_cooking_panel;joueur;cuisine.confirmer
scripts/ui/gameplay_shell.gd;1073;Retirer le dernier;_build_cooking_panel;joueur;cuisine.retirer_dernier
scripts/ui/gameplay_shell.gd;1080;Reprendre;_build_cooking_panel;joueur;cuisine.reprendre
scripts/ui/gameplay_shell.gd;1153;Réserve de plats pleine;cooking_confirm;joueur;cuisine.reserve_pleine
scripts/ui/gameplay_shell.gd;1169;Cuisiné : %s;cooking_confirm;joueur;cuisine.fait
scripts/ui/gameplay_shell.gd;1169;Plat;cooking_confirm;joueur;cuisine.plat_defaut
scripts/ui/gameplay_shell.gd;1197;Attaque renforcée;_effect_display_name;joueur;cuisine.effet.attack
scripts/ui/gameplay_shell.gd;1199;Défense renforcée;_effect_display_name;joueur;cuisine.effet.defense
scripts/ui/gameplay_shell.gd;1201;Endurance renforcée;_effect_display_name;joueur;cuisine.effet.stamina
scripts/ui/gameplay_shell.gd;1203;Résistance à la foudre;_effect_display_name;joueur;cuisine.effet.elec_resist
scripts/ui/gameplay_shell.gd;1226;Choisis 1 à 5 ingrédients;_rebuild_cooking_panel;joueur;cuisine.choisir
scripts/ui/gameplay_shell.gd;1235;Choisis (%d/5) : %s;_rebuild_cooking_panel;joueur;cuisine.choisir_compte
scripts/ui/gameplay_shell.gd;1244;%s — soigne %d PV;_rebuild_cooking_panel;joueur;cuisine.apercu.soin
scripts/ui/gameplay_shell.gd;1249;\n%s pendant %d s;_rebuild_cooking_panel;joueur;cuisine.apercu.effet
scripts/ui/gameplay_shell.gd;1252;\n(mélange instable : le soin est fortement réduit);_rebuild_cooking_panel;joueur;cuisine.apercu.instable
scripts/ui/gameplay_shell.gd;1282;%s — %d s;_refresh_buff_label;joueur;hud.buff.format
scripts/ui/gameplay_shell.gd;1301;Le Gardien s'éveille;buff_label_text;joueur;boss.phase.intro
scripts/ui/gameplay_shell.gd;1302;Armure chargée;buff_label_text;joueur;boss.phase.phase1
scripts/ui/gameplay_shell.gd;1303;Mis à la terre — le noyau est nu;buff_label_text;joueur;boss.phase.grounded_stun
scripts/ui/gameplay_shell.gd;1304;L'armure se fend;buff_label_text;joueur;boss.phase.transition12
scripts/ui/gameplay_shell.gd;1305;Surcharge;buff_label_text;joueur;boss.phase.phase2
scripts/ui/gameplay_shell.gd;1306;SURCHARGE — le métal renvoie;buff_label_text;joueur;boss.phase.overload
scripts/ui/gameplay_shell.gd;1307;La tempête monte;buff_label_text;joueur;boss.phase.transition23
scripts/ui/gameplay_shell.gd;1308;Tempête;buff_label_text;joueur;boss.phase.phase3
scripts/ui/gameplay_shell.gd;1309;Chancelant;buff_label_text;joueur;boss.phase.stagger
scripts/ui/gameplay_shell.gd;1310;Silence;buff_label_text;joueur;boss.phase.dead
scripts/ui/gameplay_shell.gd;1326;GARDIEN DE L'ORAGE;_build_boss_bar;joueur;boss.nom
scripts/ui/gameplay_shell.gd;1422;Arc Link;boss_phase_text;joueur;resonance.action.port
scripts/ui/gameplay_shell.gd;1423;Polarité (Maj : repousser);boss_phase_text;joueur;resonance.action.polarity
scripts/ui/gameplay_shell.gd;1424;Mise à la terre;boss_phase_text;joueur;resonance.action.material
scripts/ui/gameplay_shell.gd;1425;Arc Step;boss_phase_text;joueur;resonance.action.arc_anchor
