fichier,duree_s,rate,b_<22,b_31.5,b_63,b_125,b_250,b_500,b_1k,b_2k,b_4k,b_8k,b_16k,masquage_125_500
amb_valley.wav,4.0000,44100,2.983,3.403,7.033,12.352,17.999,21.176,16.336,9.188,4.937,2.700,1.893,51.584
chest_open.wav,0.3200,44100,0.000,0.000,0.001,0.012,41.744,58.235,0.006,0.001,0.000,0.000,0.000,99.990
death.wav,0.6000,44100,0.007,0.011,0.174,19.453,80.078,0.084,0.080,0.051,0.032,0.018,0.012,99.617
guard.wav,0.1300,44100,0.034,0.033,0.153,17.866,80.239,0.425,0.337,0.322,0.270,0.200,0.121,98.531
hit_land.wav,0.1100,44100,0.127,0.078,0.357,54.830,26.917,1.487,2.449,3.356,4.084,3.845,2.469,83.237
hit_taken.wav,0.1600,44100,0.219,0.239,4.773,91.559,1.598,0.250,0.301,0.338,0.328,0.241,0.155,93.445
jump.wav,0.1500,44100,0.534,0.590,3.205,1.918,8.414,11.208,20.545,18.525,17.056,10.815,7.189,21.566
land_hard.wav,0.2600,44100,0.559,0.577,55.378,34.453,0.803,0.772,1.377,1.766,1.909,1.423,0.982,36.471
land_soft.wav,0.1400,44100,0.414,0.289,0.960,73.189,4.092,1.310,2.623,3.882,5.077,4.824,3.339,78.599
parry.wav,0.2200,44100,0.003,0.004,0.019,0.014,0.054,0.091,68.270,27.423,0.726,1.376,2.020,0.159
pickup.wav,0.1200,44100,0.000,0.000,0.000,0.001,0.015,64.648,35.334,0.002,0.000,0.000,0.000,64.663
refuse.wav,0.1500,44100,0.202,0.321,3.815,87.395,8.102,0.156,0.008,0.001,0.000,0.000,0.000,95.684
step_grass_a.wav,0.0700,44100,0.104,0.099,0.649,0.507,1.351,3.550,8.050,13.920,21.139,28.842,21.787,5.414
step_grass_b.wav,0.0700,44100,0.126,0.120,0.786,0.614,1.636,4.282,9.584,15.887,21.847,26.575,18.541,6.539
step_grass_c.wav,0.0700,44100,0.088,0.083,0.544,0.426,1.134,2.989,6.834,12.173,20.011,30.486,25.231,4.554
step_stone_a.wav,0.0600,44100,0.271,0.220,0.417,3.939,78.024,2.292,2.601,3.662,3.424,3.233,1.917,84.258
step_stone_b.wav,0.0600,44100,0.464,0.418,0.860,30.089,55.313,1.531,1.965,2.797,2.621,2.476,1.468,86.940
swing.wav,0.1400,44100,0.646,1.104,3.336,3.427,12.103,16.514,20.952,16.759,13.093,7.117,4.949,32.070
ui_accept.wav,0.0800,44100,0.002,0.002,0.006,0.028,0.253,98.622,1.083,0.002,0.000,0.000,0.000,98.904
ui_move.wav,0.0450,44100,0.001,0.001,0.002,0.007,0.044,1.223,98.664,0.057,0.001,0.000,0.000,1.274
weapon_break.wav,0.4200,44100,0.084,0.129,0.313,2.779,53.808,1.724,3.825,5.855,8.779,11.674,11.029,58.314
