/home/user/wt1r1-b/tools/lot1_repetition.py:131: DeprecationWarning: Image.Image.getdata is deprecated and will be removed in Pillow 14 (2027-10-15). Use get_flattened_data instead.
  pixels = list(image.getdata())
règle R-D3 — docs/V2_3_B_LOT1_CONTROLES.md §3
commit 1f82535fe446 · dirty=False

--- 30 m — seuil S = 0.4931 (calibré sur 36 paires acceptées, paire calibrante : valley.poi.abandoned_farm.01 / valley.poi.stone_bridge.01) ---
a                                      b                                          IoU  dprofil
valley.poi.overlook_summit.01          valley.poi.riverside_village.01         0.4868   0.0879
valley.poi.turquoise_spring.01         valley.poi.stone_bridge.01              0.4500   0.0840
valley.poi.overlook_summit.01          valley.poi.turquoise_spring.01          0.4286   0.1749
valley.poi.watchtower_ruin.01          valley.poi.waterfall_cave.01            0.4189   0.0942
valley.poi.turquoise_spring.01         camp                                    0.4049   0.0839
valley.poi.barrow_cemetery.01          valley.poi.ember_raider_camps.01        0.3914   0.0910
valley.poi.overlook_summit.01          valley.poi.stone_bridge.01              0.3907   0.2190
valley.poi.forest_shrine.01            valley.poi.waterfall_cave.01            0.3866   0.1502
valley.poi.turquoise_spring.01         valley.poi.ember_raider_camps.01        0.3834   0.1377
valley.poi.forest_shrine.01            valley.poi.stone_bridge.01              0.3756   0.0825
valley.poi.overlook_summit.01          valley.poi.abandoned_farm.01            0.3727   0.1051
valley.poi.overlook_summit.01          valley.poi.barrow_cemetery.01           0.3672   0.1055
valley.poi.turquoise_spring.01         valley.poi.riverside_village.01         0.3662   0.0761
valley.poi.barrow_cemetery.01          valley.poi.riverside_village.01         0.3628   0.1164
valley.poi.turquoise_spring.01         valley.poi.abandoned_farm.01            0.3507   0.1444
valley.poi.overlook_summit.01          valley.poi.ember_raider_camps.01        0.3466   0.1093
valley.poi.watchtower_ruin.01          valley.poi.stone_bridge.01              0.3247   0.1376
valley.poi.overlook_summit.01          valley.poi.waterfall_cave.01            0.3196   0.1324
valley.poi.watchtower_ruin.01          valley.poi.riverside_village.01         0.3057   0.1347
valley.poi.turquoise_spring.01         valley.poi.waterfall_cave.01            0.2990   0.1018
valley.poi.overlook_summit.01          camp                                    0.2922   0.1477
valley.poi.turquoise_spring.01         valley.poi.barrow_cemetery.01           0.2857   0.1319
valley.poi.watchtower_ruin.01          pylon                                   0.2814   0.1760
valley.poi.watchtower_ruin.01          valley.poi.overlook_summit.01           0.2792   0.1566
valley.poi.barrow_cemetery.01          valley.poi.stone_bridge.01              0.2668   0.1471
valley.poi.watchtower_ruin.01          valley.poi.flower_field.01              0.2624   0.0986
valley.poi.watchtower_ruin.01          valley.poi.forest_shrine.01             0.2538   0.1693
valley.poi.barrow_cemetery.01          camp                                    0.2521   0.1778
valley.poi.barrow_cemetery.01          valley.poi.conductive_basin.01          0.2437   0.1640
valley.poi.forest_shrine.01            valley.poi.abandoned_farm.01            0.2344   0.1925
valley.poi.watchtower_ruin.01          valley.poi.turquoise_spring.01          0.2269   0.1531
valley.poi.barrow_cemetery.01          valley.poi.waterfall_cave.01            0.2245   0.1094
valley.poi.forest_shrine.01            valley.poi.thunderstruck_tree.01        0.2113   0.1134
valley.poi.barrow_cemetery.01          valley.poi.abandoned_farm.01            0.2102   0.1138
valley.poi.turquoise_spring.01         valley.poi.forest_shrine.01             0.2085   0.0903
valley.poi.watchtower_ruin.01          valley.poi.barrow_cemetery.01           0.2067   0.1364
valley.poi.forest_shrine.01            valley.poi.conductive_basin.01          0.2067   0.0687
valley.poi.watchtower_ruin.01          valley.poi.abandoned_farm.01            0.2042   0.1691
valley.poi.forest_shrine.01            valley.poi.riverside_village.01         0.1996   0.1034
valley.poi.flower_field.01             valley.poi.riverside_village.01         0.1848   0.1279
valley.poi.forest_shrine.01            pylon                                   0.1828   0.1098
valley.poi.watchtower_ruin.01          valley.poi.thunderstruck_tree.01        0.1685   0.1595
valley.poi.watchtower_ruin.01          valley.poi.ember_raider_camps.01        0.1651   0.1389
valley.poi.turquoise_spring.01         valley.poi.conductive_basin.01          0.1552   0.1485
valley.poi.forest_shrine.01            valley.poi.flower_field.01              0.1468   0.1228
valley.poi.overlook_summit.01          valley.poi.flower_field.01              0.1451   0.1158
valley.poi.watchtower_ruin.01          camp                                    0.1429   0.1784
valley.poi.overlook_summit.01          valley.poi.conductive_basin.01          0.1420   0.2731
valley.poi.turquoise_spring.01         valley.poi.flower_field.01              0.1419   0.1377
valley.poi.flower_field.01             valley.poi.stone_bridge.01              0.1360   0.1509
valley.poi.flower_field.01             valley.poi.abandoned_farm.01            0.1354   0.1274
valley.poi.watchtower_ruin.01          valley.poi.conductive_basin.01          0.1305   0.1956
valley.poi.forest_shrine.01            valley.poi.barrow_cemetery.01           0.1278   0.2227
valley.poi.barrow_cemetery.01          valley.poi.thunderstruck_tree.01        0.1220   0.2079
valley.poi.overlook_summit.01          valley.poi.forest_shrine.01             0.1062   0.1773
valley.poi.forest_shrine.01            camp                                    0.1040   0.2117
valley.poi.flower_field.01             valley.poi.waterfall_cave.01            0.1020   0.1136
valley.poi.overlook_summit.01          pylon                                   0.0987   0.2847
valley.poi.overlook_summit.01          valley.poi.thunderstruck_tree.01        0.0981   0.2537
valley.poi.flower_field.01             pylon                                   0.0946   0.2017
valley.poi.flower_field.01             valley.poi.thunderstruck_tree.01        0.0806   0.1472
valley.poi.forest_shrine.01            valley.poi.ember_raider_camps.01        0.0803   0.2177
valley.poi.barrow_cemetery.01          pylon                                   0.0786   0.2585
valley.poi.flower_field.01             camp                                    0.0779   0.1428
valley.poi.flower_field.01             valley.poi.ember_raider_camps.01        0.0710   0.1003
valley.poi.turquoise_spring.01         pylon                                   0.0675   0.2357
valley.poi.turquoise_spring.01         valley.poi.thunderstruck_tree.01        0.0657   0.2517
valley.poi.flower_field.01             valley.poi.conductive_basin.01          0.0600   0.1839
valley.poi.barrow_cemetery.01          valley.poi.flower_field.01              0.0559   0.1299

--- 80 m — seuil S = 0.4912 (calibré sur 36 paires acceptées, paire calibrante : valley.poi.abandoned_farm.01 / valley.poi.stone_bridge.01) ---
a                                      b                                          IoU  dprofil
valley.poi.overlook_summit.01          valley.poi.riverside_village.01         0.4862   0.0854
valley.poi.turquoise_spring.01         valley.poi.stone_bridge.01              0.4308   0.0905
valley.poi.overlook_summit.01          valley.poi.turquoise_spring.01          0.4241   0.1790
valley.poi.watchtower_ruin.01          valley.poi.waterfall_cave.01            0.4093   0.0940
valley.poi.turquoise_spring.01         valley.poi.ember_raider_camps.01        0.4080   0.1447
valley.poi.turquoise_spring.01         camp                                    0.3930   0.0961
valley.poi.forest_shrine.01            valley.poi.waterfall_cave.01            0.3880   0.1518
valley.poi.overlook_summit.01          valley.poi.stone_bridge.01              0.3812   0.2194
valley.poi.turquoise_spring.01         valley.poi.riverside_village.01         0.3807   0.0792
valley.poi.forest_shrine.01            valley.poi.stone_bridge.01              0.3685   0.0913
valley.poi.barrow_cemetery.01          valley.poi.ember_raider_camps.01        0.3534   0.0949
valley.poi.turquoise_spring.01         valley.poi.abandoned_farm.01            0.3515   0.1510
valley.poi.overlook_summit.01          valley.poi.abandoned_farm.01            0.3509   0.1215
valley.poi.overlook_summit.01          valley.poi.ember_raider_camps.01        0.3414   0.1056
valley.poi.barrow_cemetery.01          valley.poi.riverside_village.01         0.3353   0.1303
valley.poi.overlook_summit.01          valley.poi.barrow_cemetery.01           0.3280   0.1117
valley.poi.watchtower_ruin.01          valley.poi.stone_bridge.01              0.3269   0.1356
valley.poi.overlook_summit.01          valley.poi.waterfall_cave.01            0.3151   0.1423
valley.poi.watchtower_ruin.01          valley.poi.riverside_village.01         0.3038   0.1427
valley.poi.watchtower_ruin.01          pylon                                   0.2919   0.1710
valley.poi.turquoise_spring.01         valley.poi.waterfall_cave.01            0.2895   0.1013
valley.poi.overlook_summit.01          camp                                    0.2818   0.1376
valley.poi.watchtower_ruin.01          valley.poi.overlook_summit.01           0.2796   0.1589
valley.poi.turquoise_spring.01         valley.poi.barrow_cemetery.01           0.2724   0.1310
valley.poi.watchtower_ruin.01          valley.poi.flower_field.01              0.2697   0.1000
valley.poi.barrow_cemetery.01          valley.poi.stone_bridge.01              0.2621   0.1392
valley.poi.watchtower_ruin.01          valley.poi.forest_shrine.01             0.2554   0.1702
valley.poi.barrow_cemetery.01          valley.poi.waterfall_cave.01            0.2271   0.1034
valley.poi.forest_shrine.01            valley.poi.abandoned_farm.01            0.2269   0.1960
valley.poi.watchtower_ruin.01          valley.poi.turquoise_spring.01          0.2212   0.1793
valley.poi.barrow_cemetery.01          camp                                    0.2112   0.1393
valley.poi.barrow_cemetery.01          valley.poi.abandoned_farm.01            0.2104   0.1617
valley.poi.watchtower_ruin.01          valley.poi.abandoned_farm.01            0.2080   0.1900
valley.poi.forest_shrine.01            valley.poi.conductive_basin.01          0.2026   0.1127
valley.poi.forest_shrine.01            valley.poi.riverside_village.01         0.2011   0.1185
valley.poi.barrow_cemetery.01          valley.poi.conductive_basin.01          0.2010   0.1872
valley.poi.watchtower_ruin.01          valley.poi.barrow_cemetery.01           0.1966   0.1351
valley.poi.forest_shrine.01            valley.poi.thunderstruck_tree.01        0.1963   0.1147
valley.poi.turquoise_spring.01         valley.poi.forest_shrine.01             0.1932   0.0920
valley.poi.flower_field.01             valley.poi.riverside_village.01         0.1820   0.1326
valley.poi.watchtower_ruin.01          valley.poi.thunderstruck_tree.01        0.1803   0.1580
valley.poi.forest_shrine.01            pylon                                   0.1799   0.1083
valley.poi.watchtower_ruin.01          valley.poi.ember_raider_camps.01        0.1651   0.1374
valley.poi.overlook_summit.01          valley.poi.flower_field.01              0.1509   0.1255
valley.poi.forest_shrine.01            valley.poi.flower_field.01              0.1481   0.1034
valley.poi.turquoise_spring.01         valley.poi.flower_field.01              0.1406   0.1535
valley.poi.flower_field.01             valley.poi.stone_bridge.01              0.1386   0.1604
valley.poi.flower_field.01             valley.poi.abandoned_farm.01            0.1384   0.1271
valley.poi.watchtower_ruin.01          camp                                    0.1334   0.1660
valley.poi.forest_shrine.01            valley.poi.barrow_cemetery.01           0.1295   0.2325
valley.poi.overlook_summit.01          valley.poi.conductive_basin.01          0.1257   0.2700
valley.poi.barrow_cemetery.01          valley.poi.thunderstruck_tree.01        0.1186   0.2038
valley.poi.watchtower_ruin.01          valley.poi.conductive_basin.01          0.1177   0.2270
valley.poi.turquoise_spring.01         valley.poi.conductive_basin.01          0.1030   0.2944
valley.poi.flower_field.01             valley.poi.waterfall_cave.01            0.1013   0.1072
valley.poi.forest_shrine.01            camp                                    0.1012   0.1890
valley.poi.overlook_summit.01          valley.poi.thunderstruck_tree.01        0.0979   0.2613
valley.poi.overlook_summit.01          pylon                                   0.0975   0.2832
valley.poi.overlook_summit.01          valley.poi.forest_shrine.01             0.0953   0.1832
valley.poi.flower_field.01             pylon                                   0.0927   0.2079
valley.poi.flower_field.01             valley.poi.ember_raider_camps.01        0.0839   0.1002
valley.poi.flower_field.01             valley.poi.thunderstruck_tree.01        0.0829   0.1549
valley.poi.barrow_cemetery.01          pylon                                   0.0757   0.2472
valley.poi.forest_shrine.01            valley.poi.ember_raider_camps.01        0.0742   0.2161
valley.poi.flower_field.01             camp                                    0.0714   0.1501
