station_u,zone,cote,azimut_deg,epaisseur_premiere_m,epaisseur_totale_m,seuil_m,verdict,detail
0.00,porche,gauche,200,1.674,1.674,0.60,PASS,
0.00,porche,droite,340,0.153,2.822,0.60,FAIL,
0.25,porche,gauche,200,1.449,1.449,0.60,PASS,
0.25,porche,droite,350,0.500,0.500,0.60,FAIL,
0.50,porche,gauche,100,0.481,0.481,0.60,FAIL,
0.50,porche,droite,350,0.265,1.849,0.60,FAIL,
0.75,porche,gauche,120,0.231,0.231,0.60,FAIL,
0.75,porche,droite,30,0.657,0.657,0.60,PASS,
1.00,galerie,gauche,140,,,0.80,TROU,4 rayon(s) sans aucune roche; hors bouche
1.00,galerie,droite,40,0.890,0.890,0.80,PASS,
1.25,galerie,gauche,150,,,0.80,TROU,1 rayon(s) sans aucune roche; hors bouche
1.25,galerie,droite,50,0.955,0.955,0.80,PASS,
1.50,galerie,gauche,150,0.135,0.135,0.80,FAIL,
1.50,galerie,droite,320,0.082,4.241,0.80,FAIL,
1.75,galerie,gauche,150,0.487,0.487,0.80,FAIL,
1.75,galerie,droite,0,,,0.80,TROU,3 rayon(s) sans aucune roche; hors bouche
2.00,galerie,gauche,140,1.247,1.247,0.80,PASS,
2.00,galerie,droite,330,0.067,4.643,0.80,FAIL,
2.25,galerie,gauche,130,2.792,2.792,0.80,PASS,
2.25,galerie,droite,20,0.795,0.795,0.80,FAIL,
2.50,galerie,gauche,150,2.719,2.719,0.80,PASS,
2.50,galerie,droite,20,0.886,0.886,0.80,PASS,
2.75,galerie,gauche,150,2.657,2.657,0.80,PASS,
2.75,galerie,droite,350,0.487,0.487,0.80,FAIL,
3.00,galerie,gauche,150,2.727,2.727,0.80,PASS,
3.00,galerie,droite,350,,,0.80,TROU,1 rayon(s) sans aucune roche; hors bouche
3.25,galerie,gauche,140,2.759,2.759,0.80,PASS,
3.25,galerie,droite,0,,,0.80,TROU,3 rayon(s) sans aucune roche; hors bouche
3.50,galerie,gauche,140,2.676,2.676,0.80,PASS,
3.50,galerie,droite,0,,,0.80,TROU,4 rayon(s) sans aucune roche; hors bouche
3.75,galerie,gauche,150,2.358,2.358,0.80,PASS,
3.75,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
4.00,galerie,gauche,160,1.859,1.859,0.80,PASS,
4.00,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
4.25,galerie,gauche,160,1.569,1.569,0.80,PASS,
4.25,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
4.50,galerie,gauche,160,1.436,1.436,0.80,PASS,
4.50,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
4.75,galerie,gauche,160,1.345,1.345,0.80,PASS,
4.75,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
5.00,galerie,gauche,190,1.236,5.801,0.80,PASS,
5.00,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
5.25,galerie,gauche,190,1.245,5.777,0.80,PASS,
5.25,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
5.50,galerie,gauche,190,1.345,5.976,0.80,PASS,
5.50,galerie,droite,0,,,0.80,TROU,5 rayon(s) sans aucune roche; hors bouche
5.75,galerie,gauche,200,1.517,6.041,0.80,PASS,
5.75,galerie,droite,0,,,0.80,TROU,4 rayon(s) sans aucune roche; hors bouche
6.00,galerie,gauche,130,1.514,1.514,0.80,PASS,
6.00,galerie,droite,0,,,0.80,TROU,4 rayon(s) sans aucune roche; hors bouche
6.25,galerie,gauche,130,1.577,1.577,0.80,PASS,
6.25,galerie,droite,0,,,0.80,TROU,4 rayon(s) sans aucune roche; hors bouche
6.50,galerie,gauche,130,1.621,1.621,0.80,PASS,
6.50,galerie,droite,0,,,0.80,TROU,3 rayon(s) sans aucune roche; hors bouche
6.75,galerie,gauche,130,1.634,1.634,0.80,PASS,
6.75,galerie,droite,350,0.099,0.099,0.80,FAIL,
7.00,galerie,gauche,130,1.602,1.602,0.80,PASS,
7.00,galerie,droite,340,0.210,1.224,0.80,FAIL,
7.25,galerie,gauche,130,1.621,1.621,0.80,PASS,
7.25,galerie,droite,10,0.310,0.310,0.80,FAIL,
7.50,galerie,gauche,140,1.386,2.048,0.80,PASS,
7.50,galerie,droite,10,0.379,0.379,0.80,FAIL,
7.75,galerie,gauche,140,1.411,1.971,0.80,PASS,
7.75,galerie,droite,10,0.456,0.456,0.80,FAIL,
8.00,galerie,gauche,140,1.503,1.953,0.80,PASS,
8.00,galerie,droite,10,0.552,0.552,0.80,FAIL,
