station_u,zone,cote,azimut_deg,epaisseur_premiere_m,epaisseur_totale_m,seuil_m,verdict,detail
0.00,porche,gauche,190,0.101,0.101,0.60,FAIL,
0.00,porche,droite,40,0.619,0.619,0.60,PASS,
0.25,porche,gauche,150,0.173,0.173,0.60,FAIL,
0.25,porche,droite,80,0.809,0.809,0.60,PASS,
0.50,porche,gauche,150,0.632,0.632,0.60,PASS,
0.50,porche,droite,70,1.126,1.126,0.60,PASS,
0.75,porche,gauche,150,0.995,0.995,0.60,PASS,
0.75,porche,droite,70,1.714,1.714,0.60,PASS,
1.00,galerie,gauche,110,1.277,1.277,0.80,PASS,
1.00,galerie,droite,80,1.752,1.752,0.80,PASS,
1.25,galerie,gauche,110,1.241,1.241,0.80,PASS,
1.25,galerie,droite,70,1.750,1.750,0.80,PASS,
1.50,galerie,gauche,110,1.263,1.263,0.80,PASS,
1.50,galerie,droite,10,0.225,1.332,0.80,FAIL,
1.75,galerie,gauche,110,1.244,1.244,0.80,PASS,
1.75,galerie,droite,20,1.217,1.217,0.80,PASS,
2.00,galerie,gauche,110,1.766,1.766,0.80,PASS,
2.00,galerie,droite,10,1.376,1.376,0.80,PASS,
2.25,galerie,gauche,260,2.832,2.832,0.80,PASS,
2.25,galerie,droite,350,1.241,1.241,0.80,PASS,
2.50,galerie,gauche,260,2.848,2.848,0.80,PASS,
2.50,galerie,droite,350,1.210,1.210,0.80,PASS,
2.75,galerie,gauche,150,2.720,2.720,0.80,PASS,
2.75,galerie,droite,10,0.986,0.986,0.80,PASS,
3.00,galerie,gauche,150,2.659,2.659,0.80,PASS,
3.00,galerie,droite,10,0.746,0.746,0.80,FAIL,
3.25,galerie,gauche,150,2.505,2.505,0.80,PASS,
3.25,galerie,droite,10,0.920,0.920,0.80,PASS,
3.50,galerie,gauche,180,2.167,4.295,0.80,PASS,
3.50,galerie,droite,30,1.063,1.063,0.80,PASS,
3.75,galerie,gauche,170,1.844,1.844,0.80,PASS,
3.75,galerie,droite,30,1.274,1.274,0.80,PASS,
4.00,galerie,gauche,170,1.018,1.018,0.80,PASS,
4.00,galerie,droite,50,1.320,1.320,0.80,PASS,
4.25,galerie,gauche,170,0.676,0.676,0.80,FAIL,
4.25,galerie,droite,50,1.127,1.127,0.80,PASS,
4.50,galerie,gauche,190,0.320,3.934,0.80,FAIL,
4.50,galerie,droite,40,0.969,0.969,0.80,PASS,
4.75,galerie,gauche,190,0.120,3.900,0.80,FAIL,
4.75,galerie,droite,40,0.922,0.922,0.80,PASS,
5.00,galerie,gauche,180,0.520,3.826,0.80,FAIL,
5.00,galerie,droite,40,0.917,0.917,0.80,PASS,
5.25,galerie,gauche,190,0.674,4.522,0.80,FAIL,
5.25,galerie,droite,30,0.918,0.918,0.80,PASS,
5.50,galerie,gauche,150,1.386,1.386,0.80,PASS,
5.50,galerie,droite,20,0.865,0.865,0.80,PASS,
5.75,galerie,gauche,150,1.297,1.297,0.80,PASS,
5.75,galerie,droite,10,0.849,0.849,0.80,PASS,
6.00,galerie,gauche,140,0.907,0.907,0.80,PASS,
6.00,galerie,droite,10,0.888,0.888,0.80,PASS,
6.25,galerie,gauche,150,0.707,0.707,0.80,FAIL,
6.25,galerie,droite,10,0.882,0.882,0.80,PASS,
6.50,galerie,gauche,160,0.434,1.841,0.80,FAIL,
6.50,galerie,droite,10,0.872,0.872,0.80,PASS,
6.75,galerie,gauche,160,0.487,1.817,0.80,FAIL,
6.75,galerie,droite,10,0.865,0.865,0.80,PASS,
7.00,galerie,gauche,160,0.549,1.810,0.80,FAIL,
7.00,galerie,droite,10,0.849,0.849,0.80,PASS,
7.25,galerie,gauche,160,0.648,1.913,0.80,FAIL,
7.25,galerie,droite,10,0.842,0.842,0.80,PASS,
7.50,galerie,gauche,160,0.759,2.016,0.80,FAIL,
7.50,galerie,droite,10,0.842,0.842,0.80,PASS,
7.75,galerie,gauche,160,0.868,2.084,0.80,PASS,
7.75,galerie,droite,10,0.843,0.843,0.80,PASS,
8.00,galerie,gauche,160,0.969,2.117,0.80,PASS,
8.00,galerie,droite,10,0.844,0.844,0.80,PASS,
