============================================================================
MASQUE DE BOUCHE — addendum §2, execute
============================================================================
GLB     : /home/user/zelda-r2a355/reference/SM_WaterfallCave_R2a34_8bf1a1b3.glb
sha256  : 8bf1a1b309aee79f92c77371f0f5137c3e6ceefc1ecf4842f038af4f48c77110   <- lu AVANT toute mesure
tables  : git:504ecbe:source_assets/blender/environment/make_waterfall_cave.py

--- le chemin, et son origine d'abscisse ---
  station « seuil » : indice 1, ay = 0.000  (ay = 0 par definition)
  u    ax        ay        s (m)     note
  0    0.000     -1.150    -1.150    
  1    0.000     0.000     0.000     <- seuil, s = 0
  2    0.060     1.600     1.601     
  3    0.240     3.200     3.211     
  4    0.580     4.750     4.798     
  5    1.050     6.250     6.370     
  6    1.620     7.600     7.835     
  7    2.250     8.650     9.060     
  8    2.850     9.250     9.908     

--- la section ---
  GABARIT CONTRACTUEL : demi-largeur 0.950 m, cle 2.050 m
  asymetrie CAVITE_ASYM appliquee (gauche/droite/linteau)

--- §2.4 extremite exterieure ---
  script de lieu : git:504ecbe:scripts/world_v2/poi/waterfall_cave_place.gd
  MODELE_SEUIL_DEHORS   Godot  (0.000 ; 0.100 ; 1.600)
                        modele (0.000 ; -1.600 ; 0.100)
  projete sur le chemin : u = -0.3913, distance a l'axe 0.0000 m
  s_dehors = -1.6000 m   <- MESURE, pas recopie de l'addendum
  (u < 0 : le repere vit DEVANT la levre du porche ; le chemin
   est prolonge par la tangente de son premier segment, §2.4)

--- §2.5 recherche de `s_enclos` ---
  19954 faces, 9975 sommets soudes
  72 rayons par section, pas de 5.0 degres, confirmation a +0.25 m
  sol du gabarit : denivele extrapole, fidele a `sol_de_cavite()`

  boite du modele : ax[-8.29 8.91] ay[-3.99 12.25] az[-3.55 9.64]

  LES PORTEES SONT PUBLIEES, et elles sont le vrai diagnostic :
  « rencontrer de la roche avant de sortir de la boite » est une
  condition FAIBLE — un rayon lateral finit toujours par frapper
  le massif d'en face. Une portee mediane de 0,5 m dit « paroi
  collee » ; une portee mediane de 6 m dit « salle », et la
  section n'est enfermee qu'au sens de la lettre.

  s (m)     ay        sortants   enferme  port.min  port.med  port.max
  -1.600    -1.600    0          OUI      0.049     1.047     3.408
  -1.550    -1.550    0          OUI      0.083     1.021     3.439
  -1.500    -1.500    0          OUI      0.117     0.998     3.463
  -1.450    -1.450    0          OUI      0.143     0.975     3.513
  -1.400    -1.400    0          OUI      0.120     0.951     3.571
  -1.350    -1.350    0          OUI      0.023     0.909     3.628
  -1.300    -1.300    0          OUI      0.055     0.881     3.683
  -1.250    -1.250    0          OUI      0.075     0.853     3.738
  -1.200    -1.200    0          OUI      0.060     0.841     3.792
  -1.150    -1.150    0          OUI      0.045     0.814     3.847
  -1.100    -1.100    0          OUI      0.048     0.816     3.901
  -1.050    -1.050    0          OUI      0.052     0.819     3.956
  -1.000    -1.000    0          OUI      0.055     0.815     4.005
  -0.950    -0.950    0          OUI      0.058     0.808     3.997
  -0.900    -0.900    0          OUI      0.062     0.801     3.990
  -0.850    -0.850    0          OUI      0.065     0.802     3.979
  -0.800    -0.800    0          OUI      0.069     0.804     3.947
  -0.750    -0.750    0          OUI      0.072     0.805     3.922
  -0.700    -0.700    0          OUI      0.073     0.807     3.951
  -0.650    -0.650    0          OUI      0.075     0.809     3.981
  -0.600    -0.600    0          OUI      0.076     0.810     4.011
  -0.550    -0.550    0          OUI      0.078     0.811     4.040
  -0.500    -0.500    0          OUI      0.079     0.812     4.070
  -0.450    -0.450    0          OUI      0.081     0.814     4.099
  -0.400    -0.400    0          OUI      0.000     0.788     4.129
  -0.350    -0.350    0          OUI      0.000     0.789     4.158
  -0.300    -0.300    0          OUI      0.000     0.790     4.187
  -0.250    -0.250    0          OUI      0.000     0.790     4.215
  -0.200    -0.200    0          OUI      0.001     0.791     4.244
  -0.150    -0.150    0          OUI      0.000     0.727     4.206
  -0.100    -0.100    0          OUI      0.000     0.709     4.167
  -0.050    -0.050    0          OUI      0.000     0.712     4.128
  0.000     0.000     0          OUI      0.088     0.813     4.100
  0.050     0.050     0          OUI      0.089     0.811     3.941
  0.100     0.100     0          OUI      0.093     0.812     3.940
  0.150     0.150     0          OUI      0.096     0.814     3.939
  0.200     0.200     0          OUI      0.100     0.815     3.939
