station_u,zone,cote,azimut_deg,epaisseur_premiere_m,epaisseur_totale_m,seuil_m,verdict,detail
0.00,porche,gauche,240,0.852,0.852,0.60,PASS,
0.00,porche,droite,300,1.175,1.175,0.60,PASS,
0.25,porche,gauche,220,1.035,1.035,0.60,PASS,
0.25,porche,droite,300,1.139,1.139,0.60,PASS,
0.50,porche,gauche,260,1.285,1.285,0.60,PASS,
0.50,porche,droite,300,1.106,1.106,0.60,PASS,
0.75,porche,gauche,260,1.248,1.248,0.60,PASS,
0.75,porche,droite,280,1.108,1.108,0.60,PASS,
1.00,galerie,gauche,260,1.192,1.192,0.80,PASS,
1.00,galerie,droite,280,1.166,1.166,0.80,PASS,
1.25,galerie,gauche,230,1.034,1.034,0.80,PASS,
1.25,galerie,droite,290,1.182,1.182,0.80,PASS,
1.50,galerie,gauche,240,1.116,1.116,0.80,PASS,
1.50,galerie,droite,290,1.201,1.201,0.80,PASS,
1.75,galerie,gauche,250,1.126,1.126,0.80,PASS,
1.75,galerie,droite,280,1.237,1.237,0.80,PASS,
2.00,galerie,gauche,260,1.171,1.171,0.80,PASS,
2.00,galerie,droite,280,1.254,1.254,0.80,PASS,
2.25,galerie,gauche,260,1.200,1.200,0.80,PASS,
2.25,galerie,droite,290,1.227,1.227,0.80,PASS,
2.50,galerie,gauche,260,1.221,1.221,0.80,PASS,
2.50,galerie,droite,300,1.266,1.266,0.80,PASS,
2.75,galerie,gauche,260,1.242,1.242,0.80,PASS,
2.75,galerie,droite,280,1.313,1.313,0.80,PASS,
3.00,galerie,gauche,260,1.232,1.232,0.80,PASS,
3.00,galerie,droite,310,1.320,1.320,0.80,PASS,
3.25,galerie,gauche,260,1.208,1.208,0.80,PASS,
3.25,galerie,droite,280,1.296,1.296,0.80,PASS,
3.50,galerie,gauche,260,1.189,1.189,0.80,PASS,
3.50,galerie,droite,280,1.251,1.251,0.80,PASS,
3.75,galerie,gauche,260,1.206,1.206,0.80,PASS,
3.75,galerie,droite,280,1.214,1.214,0.80,PASS,
4.00,galerie,gauche,260,1.271,1.271,0.80,PASS,
4.00,galerie,droite,280,1.194,1.194,0.80,PASS,
4.25,galerie,gauche,260,1.356,1.356,0.80,PASS,
4.25,galerie,droite,280,1.256,1.256,0.80,PASS,
4.50,galerie,gauche,260,1.399,1.399,0.80,PASS,
4.50,galerie,droite,280,1.338,1.338,0.80,PASS,
4.75,galerie,gauche,260,1.411,1.411,0.80,PASS,
4.75,galerie,droite,280,1.420,1.420,0.80,PASS,
5.00,galerie,gauche,260,1.421,1.421,0.80,PASS,
5.00,galerie,droite,280,1.503,1.503,0.80,PASS,
5.25,galerie,gauche,260,1.461,1.461,0.80,PASS,
5.25,galerie,droite,280,1.548,1.548,0.80,PASS,
5.50,galerie,gauche,260,1.508,1.508,0.80,PASS,
5.50,galerie,droite,280,1.591,1.591,0.80,PASS,
5.75,galerie,gauche,260,1.530,1.530,0.80,PASS,
5.75,galerie,droite,280,1.593,1.593,0.80,PASS,
6.00,galerie,gauche,260,1.537,1.537,0.80,PASS,
6.00,galerie,droite,280,1.565,1.565,0.80,PASS,
6.25,galerie,gauche,200,1.140,1.140,0.80,PASS,
6.25,galerie,droite,280,1.588,1.588,0.80,PASS,
6.50,galerie,gauche,200,1.051,1.051,0.80,PASS,
6.50,galerie,droite,280,1.620,1.620,0.80,PASS,
6.75,galerie,gauche,200,1.005,1.005,0.80,PASS,
6.75,galerie,droite,280,1.653,1.653,0.80,PASS,
7.00,galerie,gauche,200,1.029,1.029,0.80,PASS,
7.00,galerie,droite,280,1.706,1.706,0.80,PASS,
7.25,galerie,gauche,,,,0.80,NON MESURABLE,origine hors du vide
7.25,galerie,droite,,,,0.80,NON MESURABLE,origine hors du vide
7.50,galerie,gauche,,,,0.80,NON MESURABLE,origine hors du vide
7.50,galerie,droite,,,,0.80,NON MESURABLE,origine hors du vide
7.75,galerie,gauche,,,,0.80,NON MESURABLE,origine hors du vide
7.75,galerie,droite,,,,0.80,NON MESURABLE,origine hors du vide
8.00,galerie,gauche,,,,0.80,NON MESURABLE,origine hors du vide
8.00,galerie,droite,,,,0.80,NON MESURABLE,origine hors du vide
