station_u,zone,cote,azimut_deg,epaisseur_premiere_m,epaisseur_totale_m,seuil_m,verdict,detail
0.00,porche,gauche,150,1.291,1.291,0.60,PASS,
0.00,porche,droite,40,1.163,1.163,0.60,PASS,
0.25,porche,gauche,150,1.044,1.044,0.60,PASS,
0.25,porche,droite,60,1.261,1.261,0.60,PASS,
0.50,porche,gauche,150,0.831,0.831,0.60,PASS,
0.50,porche,droite,60,1.172,1.172,0.60,PASS,
0.75,porche,gauche,150,0.968,0.968,0.60,PASS,
0.75,porche,droite,70,1.714,1.714,0.60,PASS,
1.00,galerie,gauche,110,1.282,1.282,0.80,PASS,
1.00,galerie,droite,80,1.753,1.753,0.80,PASS,
1.25,galerie,gauche,110,1.240,1.240,0.80,PASS,
1.25,galerie,droite,70,1.750,1.750,0.80,PASS,
1.50,galerie,gauche,110,1.263,1.263,0.80,PASS,
1.50,galerie,droite,10,0.225,1.331,0.80,FAIL,
1.75,galerie,gauche,110,1.244,1.244,0.80,PASS,
1.75,galerie,droite,20,1.217,1.217,0.80,PASS,
2.00,galerie,gauche,110,1.766,1.766,0.80,PASS,
2.00,galerie,droite,10,1.376,1.376,0.80,PASS,
2.25,galerie,gauche,260,2.832,2.832,0.80,PASS,
2.25,galerie,droite,10,1.343,1.343,0.80,PASS,
2.50,galerie,gauche,260,2.848,2.848,0.80,PASS,
2.50,galerie,droite,10,1.276,1.276,0.80,PASS,
2.75,galerie,gauche,150,2.720,2.720,0.80,PASS,
2.75,galerie,droite,10,0.986,0.986,0.80,PASS,
3.00,galerie,gauche,150,2.659,2.659,0.80,PASS,
3.00,galerie,droite,10,0.746,0.746,0.80,FAIL,
3.25,galerie,gauche,150,2.505,2.505,0.80,PASS,
3.25,galerie,droite,10,0.920,0.920,0.80,PASS,
3.50,galerie,gauche,180,2.176,4.303,0.80,PASS,
3.50,galerie,droite,30,1.099,1.099,0.80,PASS,
3.75,galerie,gauche,160,1.895,1.895,0.80,PASS,
3.75,galerie,droite,30,1.279,1.279,0.80,PASS,
4.00,galerie,gauche,190,1.588,4.971,0.80,PASS,
4.00,galerie,droite,50,1.417,1.417,0.80,PASS,
4.25,galerie,gauche,190,1.682,5.254,0.80,PASS,
4.25,galerie,droite,50,1.382,1.382,0.80,PASS,
4.50,galerie,gauche,180,1.972,4.872,0.80,PASS,
4.50,galerie,droite,40,1.287,1.287,0.80,PASS,
4.75,galerie,gauche,180,2.016,5.059,0.80,PASS,
4.75,galerie,droite,40,1.134,1.134,0.80,PASS,
5.00,galerie,gauche,180,1.964,5.071,0.80,PASS,
5.00,galerie,droite,40,1.013,1.013,0.80,PASS,
5.25,galerie,gauche,180,1.993,5.079,0.80,PASS,
5.25,galerie,droite,40,1.110,1.110,0.80,PASS,
5.50,galerie,gauche,170,2.030,2.030,0.80,PASS,
5.50,galerie,droite,40,1.192,1.192,0.80,PASS,
5.75,galerie,gauche,130,1.694,1.694,0.80,PASS,
5.75,galerie,droite,40,1.248,1.248,0.80,PASS,
6.00,galerie,gauche,130,1.587,1.587,0.80,PASS,
6.00,galerie,droite,40,1.275,1.275,0.80,PASS,
6.25,galerie,gauche,130,1.654,1.654,0.80,PASS,
6.25,galerie,droite,40,1.262,1.262,0.80,PASS,
6.50,galerie,gauche,130,1.720,1.720,0.80,PASS,
6.50,galerie,droite,40,1.200,1.200,0.80,PASS,
6.75,galerie,gauche,130,1.787,1.787,0.80,PASS,
6.75,galerie,droite,40,1.169,1.169,0.80,PASS,
7.00,galerie,gauche,130,1.863,1.863,0.80,PASS,
7.00,galerie,droite,20,1.120,1.120,0.80,PASS,
7.25,galerie,gauche,120,1.997,1.997,0.80,PASS,
7.25,galerie,droite,20,1.069,1.069,0.80,PASS,
7.50,galerie,gauche,120,2.095,2.095,0.80,PASS,
7.50,galerie,droite,20,1.011,1.011,0.80,PASS,
7.75,galerie,gauche,120,2.206,2.206,0.80,PASS,
7.75,galerie,droite,30,0.974,0.974,0.80,PASS,
8.00,galerie,gauche,120,2.319,2.319,0.80,PASS,
8.00,galerie,droite,30,0.952,0.952,0.80,PASS,
