=== UV0 : ÉCHELLE RÉELLE, PIÈCE PAR PIÈCE ===
date: 2026-08-19T18:28:09Z
référence mesurée sur le kit (Wall_UnevenBrick_Straight, MI_UnevenBrick) :
  1 tuile UV = 2,00 m en U et 2,11 m en V, soit 0,50 et 0,474 UV/m.

piece                      materiau             UV/m U   UV/m V   UV0
SM_Farm_Truss              Wood                  0.650    0.042   OUI
SM_Farm_Truss              BrokenWood            1.112    0.077   OUI
SM_Farm_RoofPan_Intact     Wood                  0.716    0.044   OUI
SM_Farm_RoofPan_Intact     Tiles                 1.073    0.065   OUI
SM_Farm_RoofPan_Fallen     Wood                  0.824    0.082   OUI
SM_Farm_RoofPan_Fallen     Tiles                 1.467    0.209   OUI
SM_Farm_Debris_A           Wood                  0.650    0.199   OUI
SM_Farm_Debris_A           Tiles                 1.057    0.591   OUI
SM_Farm_Debris_A           BrokenWood            3.035    0.446   OUI
SM_Farm_Debris_B           Wood                  0.650    0.285   OUI
SM_Farm_Debris_B           Tiles                 1.057    0.682   OUI
SM_Farm_Debris_B           BrokenWood            2.629    0.446   OUI
SM_Farm_GableBreak         Stone                 0.480    0.194   OUI
SM_Farm_WallStub_East      Stone                 0.480    0.295   OUI
SM_Farm_Rubble_Wall        Wood                  0.650    0.139   OUI
SM_Farm_Rubble_Wall        BrokenWood            2.140    0.310   OUI
SM_Farm_Rubble_Wall        Stone                 0.480    0.310   OUI
SM_Farm_Jamb_Door          Stone                 0.480    0.450   OUI
SM_Farm_Jamb_Breach        Stone                 0.480    0.369   OUI
SM_Farm_InteriorFrame      Wood                  0.641    0.056   OUI
SM_Farm_JoistStubs         Wood                  0.650    0.034   OUI
SM_Farm_JoistStubs         BrokenWood            0.650    0.033   OUI
SM_Farm_JoistStubs         Stone                 0.531    2.271   OUI
SM_Farm_WallBreak_North    Stone                 0.401    0.524   OUI
