mesh                     prim  comp   tris    LIANT     hexa     equi   droite  aire_med arete_min    fine%
 SM_Farm_Truss              2    21    212    90.6%    90.6%    90.6%     0.0%   1.51204  0.070292   0.000%
 SM_Farm_RoofPan_Intact     2     9    108   100.0%   100.0%   100.0%    66.7%   9.91536  0.055000   0.000%
 SM_Farm_RoofPan_Fallen     2     9    108   100.0%   100.0%   100.0%    44.4%   0.97680  0.050000   0.000%
 SM_Farm_Debris_A           4    12    198     0.0%     0.0%     0.0%     0.0%   0.31417  0.059032   0.000%
 SM_Farm_Debris_B           4    12    198     0.0%     0.0%     0.0%     0.0%   0.32056  0.064464   0.000%
 SM_Farm_GableBreak         1    14    304    51.3%    51.3%     7.9%     0.0%   0.29824  0.040000   0.000%
 SM_Farm_WallStub_East      1     4     84    42.9%    42.9%     0.0%     0.0%   0.57290  0.033982   0.000%
 SM_Farm_Rubble_Wall        3    16    184    97.8%    97.8%     6.5%     0.0%   0.98015  0.117154   0.000%
 SM_Farm_Jamb_Door          1     9    108   100.0%   100.0%    33.3%    33.3%   0.38015  0.150000   0.000%
 SM_Farm_Jamb_Breach        1     7     92    78.3%    78.3%    26.1%    26.1%   0.38015  0.080000   0.000%
 SM_Farm_InteriorFrame      1     6     72   100.0%   100.0%   100.0%     0.0%   1.89664  0.114175   0.000%
 SM_Farm_JoistStubs         3     9     76    78.9%    78.9%    63.2%     0.0%   0.48526  0.101533   0.000%
 SM_Farm_WallBreak_North    1    16    336    53.6%    53.6%     3.6%     0.0%   0.17829  0.053621   0.000%
 SM_Farm_Rubble_North       1    12    144   100.0%   100.0%     0.0%     0.0%   0.88536  0.301751   0.000%
TOTAL                                 2224    63.7%    63.7%    28.6%     8.1%            0.033982   0.000%
mesh                     prim  comp   tris    LIANT     hexa     equi   droite  aire_med arete_min    fine%
 SM_Farm_Truss              2    21    212    90.6%    90.6%    90.6%     0.0%   1.51204  0.070292   0.000%
 SM_Farm_RoofPan_Intact     2     9    108   100.0%   100.0%   100.0%    66.7%   9.91536  0.055000   0.000%
 SM_Farm_RoofPan_Fallen     2     9    108   100.0%   100.0%   100.0%    44.4%   0.97680  0.050000   0.000%
*SM_Farm_Debris_A           4    12    198     0.0%     0.0%     0.0%     0.0%   0.31417  0.059032   0.000%
*SM_Farm_Debris_B           4    12    198     0.0%     0.0%     0.0%     0.0%   0.32056  0.064464   0.000%
 SM_Farm_GableBreak         1    14    304    51.3%    51.3%     7.9%     0.0%   0.29824  0.040000   0.000%
 SM_Farm_WallStub_East      1     4     84    42.9%    42.9%     0.0%     0.0%   0.57290  0.033982   0.000%
 SM_Farm_Rubble_Wall        3    16    184    97.8%    97.8%     6.5%     0.0%   0.98015  0.117154   0.000%
 SM_Farm_Jamb_Door          1     9    108   100.0%   100.0%    33.3%    33.3%   0.38015  0.150000   0.000%
 SM_Farm_Jamb_Breach        1     7     92    78.3%    78.3%    26.1%    26.1%   0.38015  0.080000   0.000%
 SM_Farm_InteriorFrame      1     6     72   100.0%   100.0%   100.0%     0.0%   1.89664  0.114175   0.000%
 SM_Farm_JoistStubs         3     9     76    78.9%    78.9%    63.2%     0.0%   0.48526  0.101533   0.000%
 SM_Farm_WallBreak_North    1    16    336    53.6%    53.6%     3.6%     0.0%   0.17829  0.053621   0.000%
 SM_Farm_Rubble_North       1    12    144   100.0%   100.0%     0.0%     0.0%   0.88536  0.301751   0.000%
MESHES RETENUS                         396     0.0%     0.0%     0.0%     0.0%            0.059032   0.000%
OK : liant 0.0% <= plafond 25.0%
